25	2019	----	preprint	Alfredo Rago; John H. Werren; John K. Colbourne	Sex biased expression and co-expression networks in development, using the hymenopteran Nasonia vitripennis	bioRxiv (Cold Spring Harbor Laboratory)	https://doi.org/10.1101/540336	https://openalex.org/W2913783215
26	2020	SELF	article	Joel Lehman; Jeff Clune; Dusan Misevic; Christoph Adami; Lee Altenberg	The Surprising Creativity of Digital Evolution: A Collection of Anecdotes from the Evolutionary Computation and Artificial Life Research Communities	Artificial Life	https://doi.org/10.1162/artl_a_00319	https://openalex.org/W3015475346
27	2020	----	article	C. Darrin Hulsey; Karly E. Cohen; Zerina Johanson; Nidal Karagic; Axel Meyer	Grand Challenges in Comparative Tooth Biology	Integrative and Comparative Biology	https://doi.org/10.1093/icb/icaa038	https://openalex.org/W3035233699
28	2020	----	article	Nathalie Feiner; Illiam S. C. Jackson; Kirke L. Munch; Reinder Radersma; Tobias Uller	Plasticity and evolutionary convergence in the locomotor skeleton of Greater Antillean Anolis lizards	eLife	https://doi.org/10.7554/elife.57468	https://openalex.org/W3048569568
29	2020	----	article	András Szilágyi; Péter Szabó; Mauro Santos; Eörs Szathmáry	Phenotypes to remember: Evolutionary developmental memory capacity and robustness	PLoS Computational Biology	https://doi.org/10.1371/journal.pcbi.1008425	https://openalex.org/W3108205766
30	2020	----	article	Chris Fields; Michael Levin	Does Evolution Have a Target Morphology?	Università degli studi di Roma La Sapienza	https://doi.org/10.13133/2532-5876/16961	https://openalex.org/W3089899873
31	2020	----	article	Alexa Sadier; Sharlene E. Santana; Karen E. Sears	The Role of Core and Variable Gene Regulatory Network Modules in Tooth Development and Evolution	Integrative and Comparative Biology	https://doi.org/10.1093/icb/icaa116	https://openalex.org/W3047718888
32	2020	SELF	article	Miguel Brun‐Usan; Christoph Thies; Richard A. Watson	How to fit in: The learning principles of cell differentiation	PLoS Computational Biology	https://doi.org/10.1371/journal.pcbi.1006811	https://openalex.org/W3015446207
33	2020	----	article	Liudmyla Vasylenko; Marcus W. Feldman; Adi Livnat	The power of randomization by sex in multilocus genetic evolution	Biology Direct	https://doi.org/10.1186/s13062-020-00277-0	https://openalex.org/W3109572584
34	2020	----	article	Eric Steinhart	Atheists Giving Thanks to the Sun	Philosophia	https://doi.org/10.1007/s11406-020-00269-4	https://openalex.org/W3087090467
35	2020	SELF	book-chapter	Richard A. Watson	Evolvability	n/a	https://doi.org/10.1007/978-3-319-33038-9_184-1	https://openalex.org/W4205739181
36	2020	----	preprint	András Szilágyi; Péter Szabó; Mauro Santos; Eörs Szathmáry	Phenotypes to remember: Evolutionary developmental memory capacity and robustness	bioRxiv (Cold Spring Harbor Laboratory)	https://doi.org/10.1101/2020.05.27.118497	https://openalex.org/W3029246128
37	2020	----	preprint	Frank Imbach; Stéphane Perrey; Romain Chailan; Thibaut Méline; Robin Candau	Training Load Responses Modelling in Elite Sports: How to Deal with Generalisation?	Research Square	https://doi.org/10.21203/rs.3.rs-128940/v1	https://openalex.org/W3161924965
38	2020	----	book-chapter	Axel Lange	Die Evolution des Menschen in seiner (nicht-)biologischen Zukunft	n/a	https://doi.org/10.1007/978-3-662-60915-6_8	https://openalex.org/W3029916976
39	2020	----	preprint	Dániel Czégel; Hamza Giaffar; Márton Csillag; Bálint Futó; Eörs Szathmáry	Darwinian dynamics over recurrent neural computations for combinatorial problem solving	bioRxiv (Cold Spring Harbor Laboratory)	https://doi.org/10.1101/2020.11.06.372284	https://openalex.org/W3097545626
40	2020	----	book-chapter	Eric Steinhart	Reflexivity	n/a	https://doi.org/10.1007/978-3-030-43052-8_3	https://openalex.org/W4247641017
41	2021	----	article	Chris Fields; James F. Glazebrook; Michael Levin	Minimal physicalism as a scale-free substrate for cognition and consciousness	Neuroscience of Consciousness	https://doi.org/10.1093/nc/niab013	https://openalex.org/W3188501181
42	2021	----	article	Bill Thompson; Thomas L. Griffiths	Human biases limit cumulative innovation	Proceedings of the Royal Society B Biological Sciences	https://doi.org/10.1098/rspb.2020.2752	https://openalex.org/W3133873474
43	2021	----	article	Nathalie Feiner; Miguel Brun‐Usan; Tobias Uller	Evolvability and evolutionary rescue	Evolution & Development	https://doi.org/10.1111/ede.12374	https://openalex.org/W3126150606
44	2021	----	article	Nathalie Feiner; Illiam S. C. Jackson; Edward L. Stanley; Tobias Uller	Evolution of the locomotor skeleton in Anolis lizards reflects the interplay between ecological opportunity and phylogenetic inertia	Nature Communications	https://doi.org/10.1038/s41467-021-21757-5	https://openalex.org/W3133733543
45	2021	----	article	M. La Grove; Lucy Timbrell; Ben Jolley; Fiona Polack; James M. Borg	The Importance of Noise Colour in Simulations of Evolutionary Systems	Artificial Life	https://doi.org/10.1162/artl_a_00354	https://openalex.org/W4211221885
46	2021	----	article	Dániel Czégel; Hamza Giaffar; Márton Csillag; Bálint Futó; Eörs Szathmáry	Novelty and imitation within the brain: a Darwinian neurodynamic approach to combinatorial problems	Scientific Reports	https://doi.org/10.1038/s41598-021-91489-5	https://openalex.org/W3168791224
47	2021	SELF	book-chapter	Richard A. Watson	Evolvability	n/a	https://doi.org/10.1007/978-3-319-32979-6_184	https://openalex.org/W4256324895
48	2021	----	article	Félix Geoffroy; Jean‐Baptiste André	The emergence of cooperation by evolutionary generalization	Proceedings of the Royal Society B Biological Sciences	https://doi.org/10.1098/rspb.2021.0338	https://openalex.org/W3165633353
49	2021	----	preprint	Michael Levin	Technological Approach to Mind Everywhere (TAME): an experimentally- grounded framework for understanding diverse bodies and minds	n/a	https://doi.org/10.31234/osf.io/t6e8p	https://openalex.org/W4200471981
50	2021	----	preprint	Abigail R. Gutai; Thomas E. Gorochowski	How Biological Concepts and Evolutionary Theories Are Inspiring Advances in Machine Intelligence	Preprints.org	https://doi.org/10.20944/preprints202109.0234.v1	https://openalex.org/W3200363141
51	2021	----	preprint	Félix Geoffroy; Jean‐Baptiste André	The emergence of cooperation by evolutionary generalization	bioRxiv (Cold Spring Harbor Laboratory)	https://doi.org/10.1101/2021.01.27.428436	https://openalex.org/W3124096175
