cell         reg branch      s  held  vocab Kdx2  dlyx2 Kx2   floor persist tape  ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC RESET_IP slope   class
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_remember   S1  B1_naive    1  0.104 0.062 0.021 0.083 0.073 0.013 none    256   64.8    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
A_remember   S1  B1_naive    2  0.042 0.104 0.042 0.000 0.031 0.013 none    128   52.8    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
A_remember   S1  B1_naive    3  0.042 0.125 0.083 0.062 0.073 0.013 none    256   1032.0  0.000     0.000      0.000      0.000   0.000   -0.005 NO_ADAPTATION
A_remember   S1  B2_transfer 1  0.229 0.104 0.208 0.312 0.156 0.013 regs    128   228.2   0.125     0.125      0.000      0.000   -0.021   0.000 UNRESOLVED
A_remember   S1  B2_transfer 2  0.042 0.104 0.042 0.000 0.031 0.013 none    128   52.8    0.000     0.000      0.000      0.000   0.000   -0.016 NO_ADAPTATION
A_remember   S1  B2_transfer 3  0.146 0.208 0.125 0.229 0.115 0.013 regs    128   516.0   0.146     0.146      0.000      0.000   0.000   0.016 UNRESOLVED
A_remember   S3  B1_naive    1  0.042 0.062 0.021 0.083 0.052 0.013 none    256   81.1    0.000     0.000      0.000      0.000   0.062   -0.005 NO_ADAPTATION
A_remember   S3  B1_naive    2  0.042 0.104 0.042 0.000 0.031 0.013 none    64    52.8    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
A_remember   S3  B1_naive    3  0.062 0.021 0.042 0.021 0.042 0.013 none    128   64.5    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S1  B1_naive    1  0.083 0.021 0.083 0.125 0.021 0.002 none    256   52.5    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S1  B1_naive    2  0.104 0.042 0.042 0.000 0.021 0.002 regs    128   306.8   0.000     0.000      0.000      0.000   0.000   -0.016 UNRESOLVED
B_update     S1  B1_naive    3  0.042 0.042 0.062 0.083 0.083 0.002 none    256   55.1    0.000     0.000      0.000      0.000   0.000   0.011 NO_ADAPTATION
B_update     S1  B2_transfer 1  0.083 0.021 0.083 0.125 0.021 0.002 none    512   52.5    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
