pl_name,hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_radj,pl_eqt,st_mass,st_rad,st_teff,sy_dist,disc_year
"K2-163 b","K2-163",6.67311700000,,,88.25311,,0.22001134,,0.826112,0.762201,4937.00,208.52900000,2018
"K2-165 b","K2-165",2.35499200000,,,87.08276,,0.11369762,,0.834847,0.803827,5185.00,134.59100000,2018
"K2-165 c","K2-165",4.38274500000,,,87.05435,,0.13864665,,0.834847,0.803827,5185.00,134.59100000,2018
"K2-165 d","K2-165",14.10136100000,,,89.00190,,0.23624721,,0.834847,0.803827,5185.00,134.59100000,2018
"Kepler-477 b","Kepler-477",11.11990653000,,,,,0.18467303,,0.870000,0.790000,5240.00,,2016
"Kepler-108 b","Kepler-108",49.18392100000,0.2920000000,,,,0.77200000,,,2.192000,5854.00,338.73200000,2014
"EPIC 201595106 b","EPIC 201595106",0.87724000000,0.0177000000,0.000000,78.20000,0.02413252,0.13962019,2038.00,0.958000,0.980000,5679.00,232.10000000,2021
"K2-166 b","K2-166",8.52695000000,0.0858000000,,,,0.19537871,1140.00,1.160000,1.610000,5960.00,476.88200000,2018
"K2-175 b","K2-175",9.52598800000,,,87.49426,,0.18182147,,1.094693,1.420038,5909.00,247.26600000,2018
"K2-176 b","K2-176",5.32943900000,,,88.06252,,0.13300928,,0.938545,0.864160,5428.00,247.30200000,2018
"K2-177 b","K2-177",14.15518500000,,,87.21955,,0.18879515,,1.210525,1.213565,6063.00,492.16700000,2018
"K2-178 b","K2-178",8.74781800000,,,88.61078,,0.31741546,,0.951090,0.887267,5525.00,214.75300000,2018
"Kepler-9 d","Kepler-9",1.59285100000,0.0273000000,,,,0.14600000,2026.00,1.070000,1.020000,5777.00,628.25700000,2010
"K2-183 b","K2-183",0.46928500000,,,90.10000,,0.09813560,,,0.870000,5482.00,329.04100000,2018
"K2-185 b","K2-185",10.61638400000,,,,,0.10259630,809.00,0.960000,0.940000,5788.00,268.35700000,2018
"K2-185 c","K2-185",52.71349400000,,,,,0.21322189,477.00,0.960000,0.940000,5788.00,268.35700000,2018
"K2-263 b","K2-263",50.81894700000,0.2573000000,0.150000,89.24000,0.04688064,0.21500617,470.00,0.880000,0.850000,5368.00,162.48100000,2018
"K2-186 b","K2-186",41.47421900000,,,89.52426,,0.28299383,,1.018617,0.980830,5784.00,330.73900000,2018
"K2-341 b","K2-341",36.55255100000,,,,,0.28637751,598.00,0.980000,1.160000,5817.00,421.40800000,2021
"K2-187 b","K2-187",0.77401000000,,,89.70000,,0.10705701,,,0.830000,5438.00,330.91600000,2018
"K2-188 b","K2-188",1.74216900000,0.0289000000,,,,0.12043893,1692.00,1.060000,1.190000,5977.00,446.82100000,2018
"K2-189 b","K2-189",2.58812000000,,,,,0.12516749,1203.00,0.850000,0.879000,5442.00,242.11300000,2018
"K2-190 c","K2-190",21.57402300000,,,88.97694,,0.09751835,,0.904597,0.912206,5631.00,160.67900000,2018
"K2-195 c","K2-195",28.48278600000,,,88.53687,,0.22979917,,0.963364,0.906367,5712.00,315.01400000,2018
"K2-196 b","K2-196",48.32422200000,,,88.27355,,0.32114420,,1.162095,1.538801,6045.00,584.87700000,2018
"Kepler-42 b","Kepler-42",1.21376720000,0.0116000000,,,,0.07000000,519.00,0.130000,0.170000,3068.00,40.05950000,2011
"K2-201 b","K2-201",1.05979000000,,,84.41366,,0.12490562,,0.956055,0.878161,5507.00,197.93200000,2018
"K2-201 c","K2-201",22.77987800000,,,89.27205,,0.29312909,,0.956055,0.878161,5507.00,197.93200000,2018
"K2-202 b","K2-202",3.40516400000,,,87.67245,,0.20534000,,0.971461,0.910685,5491.00,300.39700000,2018
"K2-381 b","K2-381",7.93893340000,,,,,0.09590524,,0.754000,0.675000,4473.00,145.70100000,2022
