cell         reg branch      s  held  vocab Kdx2  dlyx2 Kx2   floor persist tape  ops/ep  ERASE_ALL ERASE_REGS ERASE_TAPE SCR_LOC RESET_IP slope   class
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
A_remember   S1  B1_naive    1  0.083 0.062 0.042 0.042 0.042 0.006 none    128   74.0    0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
A_remember   S1  B1_naive    2  0.021 0.021 0.062 0.000 0.021 0.006 none    128   48.9    0.000     0.000      0.000      0.000   0.021   0.000 NO_ADAPTATION
A_remember   S1  B1_naive    3  0.000 0.000 0.000 0.000 0.000 0.006 none    128   31.3    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
A_remember   S1  B2_transfer 1  0.167 0.229 0.083 0.167 0.125 0.006 regs    128   408.2   0.208     0.208      0.000      0.000   0.000   -0.005 UNRESOLVED
A_remember   S1  B2_transfer 2  0.042 0.042 0.062 0.021 0.052 0.006 none    256   81.0    0.000     0.000      0.000      0.000   0.021   0.000 NO_ADAPTATION
A_remember   S1  B2_transfer 3  0.125 0.042 0.125 0.125 0.146 0.006 regs    128   185.2   0.062     0.062      0.000      0.000   0.000   -0.011 UNRESOLVED
A_remember   S3  B1_naive    1  0.083 0.062 0.042 0.042 0.042 0.006 none    64    74.0    0.000     0.000      0.000      0.000   0.000   0.005 NO_ADAPTATION
A_remember   S3  B1_naive    2  0.042 0.042 0.062 0.021 0.052 0.006 none    64    48.9    0.000     0.000      0.000      0.000   0.021   0.000 NO_ADAPTATION
A_remember   S3  B1_naive    3  0.000 0.000 0.000 0.000 0.000 0.006 none    64    31.3    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S1  B1_naive    1  0.000 0.021 0.021 0.021 0.000 0.000 none    64    47.2    0.000     0.000      0.000      0.000   0.021   0.000 NO_ADAPTATION
B_update     S1  B1_naive    2  0.000 0.062 0.000 0.042 0.021 0.000 none    256   40.8    0.000     0.000      0.000      0.000   0.000   -0.011 NO_ADAPTATION
B_update     S1  B1_naive    3  0.000 0.000 0.000 0.042 0.010 0.000 none    64    87.7    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
B_update     S1  B2_transfer 1  0.000 0.062 0.042 0.021 0.010 0.000 none    256   42.8    0.000     0.000      0.000      0.000   0.021   0.005 NO_ADAPTATION
B_update     S1  B2_transfer 2  0.000 0.062 0.000 0.042 0.021 0.000 none    128   54.2    0.000     0.000      0.000      0.000   0.000   -0.011 NO_ADAPTATION
B_update     S1  B2_transfer 3  0.000 0.000 0.000 0.042 0.010 0.000 none    64    61.6    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
C_forget     S1  B1_naive    1  0.583 0.771 0.625 0.583 0.573 0.069 none    64    37.2    0.000     0.000      0.000      0.000   0.000   0.000 UNRESOLVED
C_forget     S1  B1_naive    2  0.604 0.521 0.604 0.583 0.583 0.069 none    64    39.6    0.000     0.000      0.000      0.000   0.000   0.000 UNRESOLVED
C_forget     S1  B1_naive    3  0.604 0.521 0.479 0.542 0.438 0.069 none    128   37.1    0.000     0.000      0.000      0.000   0.000   0.000 UNRESOLVED
D_bind2      S1  B1_naive    1  0.073 0.031 0.104 0.052 0.078 0.004 none    64    59.6    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B1_naive    2  0.094 0.052 0.094 0.031 0.099 0.004 none    64    57.6    0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
D_bind2      S1  B1_naive    3  0.052 0.042 0.052 0.042 0.062 0.004 none    128   58.0    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B2_transfer 1  0.073 0.031 0.104 0.052 0.078 0.004 none    128   59.6    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B2_transfer 2  0.094 0.052 0.094 0.031 0.099 0.004 none    256   57.6    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
D_bind2      S1  B2_transfer 3  0.042 0.010 0.021 0.010 0.036 0.004 none    256   143.5   0.000     0.000      0.000      0.000   0.021   0.000 NO_ADAPTATION
D_bind2      S3  B1_naive    1  0.042 0.010 0.042 0.031 0.036 0.004 none    16    44.5    0.000     0.000      0.000      0.000   -0.021   -0.005 NO_ADAPTATION
D_bind2      S3  B1_naive    2  0.094 0.052 0.094 0.031 0.099 0.004 none    128   57.6    0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
D_bind2      S3  B1_naive    3  0.052 0.042 0.052 0.042 0.062 0.004 none    4096  58.0    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
E_bind4      S1  B1_naive    1  0.052 0.073 0.062 0.094 0.109 0.005 none    32    73.6    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
E_bind4      S1  B1_naive    2  0.089 0.047 0.057 0.062 0.062 0.005 none    256   72.5    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
E_bind4      S1  B1_naive    3  0.057 0.073 0.073 0.073 0.062 0.005 none    1024  76.3    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
G_interfere  S1  B1_naive    1  0.021 0.062 0.031 0.042 0.031 0.004 none    128   86.9    0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
G_interfere  S1  B1_naive    2  0.073 0.042 0.031 0.094 0.052 0.004 none    256   60.8    0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
G_interfere  S1  B1_naive    3  0.052 0.021 0.062 0.042 0.042 0.004 none    128   103.7   0.000     0.000      0.000      0.000   0.031   -0.003 NO_ADAPTATION
H_timescale  S1  B1_naive    1  0.042 0.062 0.062 0.073 0.052 0.007 none    64    396.2   0.000     0.000      0.000      0.000   0.000   0.013 NO_ADAPTATION
H_timescale  S1  B1_naive    2  0.083 0.073 0.042 0.021 0.057 0.007 none    128   142.4   0.000     0.000      0.000      0.000   0.000   0.000 NO_ADAPTATION
H_timescale  S1  B1_naive    3  0.042 0.083 0.083 0.062 0.057 0.007 none    256   111.8   0.000     0.000      0.000      0.000   0.000   0.003 NO_ADAPTATION
