query_formula,query_elements,sc_class,mp_spacegroup,mp_tc,cod_id,cod_formula,cod_spacegroup,cod_sg_number,cod_a,cod_b,cod_c,cod_vol,cod_year
S1.1Zr1,S-Zr,Chevrel,F d -3 m,4.5,9008781,- S Zr -,F m -3 m,225,5.25,5.25,5.25,144.703,1963
K1S8V6,K-S-V,Chevrel,P -3,0.71,1529696,- K0.2 S8 V6 -,P 63/m,176,9.139,9.139,3.3025,238.875,1987
K1S8V6,K-S-V,Chevrel,P -3,0.71,1539572,- K3 S4 V -,P n m a,62,9.143,10.59,9.107,881.78,1964
K1S8V6,K-S-V,Chevrel,P -3,0.71,1541673,- K0.5 S8 V5 -,P 1 2 1,3,17.462,6.556,8.4595,940.253,1984
K1S8V6,K-S-V,Chevrel,P -3,0.71,1542111,- K0.7 S8 V5 -,C 1 2/m 1,12,17.499,3.2986,8.489,475.49,1984
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,1528933,- Mo Se2 -,R 3 m :H,160,3.292,3.292,19.392,182.001,1966
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,1539630,- Mo3 Se4 -,R -3 :H,148,9.545,9.545,11.21,884.48,1973
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,2000245,- Mo15 Se19 -,R -3 c :R,,20.36,20.36,20.36,1532.2,1991
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,2310945,- Mo Se2 -,P 63/m m c,194,3.288,3.288,12.9,120.777,1963
Mo1Se2,Mo-Se,Chevrel,P -3 m 1,0.0,4327371,- Mo9 Se11 -,P 63/m,176,9.4204,9.4204,12.1226,931.68,2004
In1K2Mo15Se19,In-K-Mo-Se,Chevrel,P 1 21/m 1,1.3,2211964,- In0.875 K2 Mo15 Se19 -,P 63/m,176,9.8076,9.8076,19.6036,1633.02,2007
S0.8Se1.2Ta1,S-Se-Ta,Chevrel,P 3 m 1,3.9,2004184,- S1.68 Se0.32 Ta3 -,A b m 2,39,7.5018,17.358,5.6204,731.9,1995
Cs2Mo6Se6,Cs-Mo-Se,Chevrel,P 63/m,0.0,9007850,- Cs5 Mo21 Se23 -,P 63/m,176,9.6513,9.6513,29.939,2415.12,1990
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1010993,- Mo S2 -,P 63/m m c,194,3.15,3.15,12.3,105.7,1923
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1011286,- Mo S2 -,P 63/m m c,194,3.14,3.14,12.53,107,1925
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1527605,- Mo2 S3 -,P 1 21/m 1,11,6.092,3.208,8.6335,164.771,1970
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1531960,- Mo S2 -,P 63/m m c,194,3.169,3.169,12.324,107.183,2002
Mo1S2,Mo-S,Chevrel,P 63/m m c,0.0,1534511,- Mo15 S19 -,P 63/m,176,9.1838,9.1838,19.0483,1391.33,2004
Ag1Mo6S8,Ag-Mo-S,Chevrel,R -3,7.7,1509061,- Ag0.961 Mo6 S8 -,P -1,2,6.4592,6.4469,6.459,268.607,1990
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2106972,- In2.9 Mo15 Se19 -,P 63/m,176,9.804,9.804,19.49,1622.37,1979
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2106973,- In3.3 Mo15 Se19 -,P 63/m,176,9.83,9.83,19.4,1623.45,1979
In2Mo15Se19,In-Mo-Se,Chevrel,R -3 c,1.5,2107132,- In2 Mo15 Se19 -,R -3 c :R,167,20.159,20.159,20.159,1574.32,1981
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001663,- Cu Nd O2.5 -,P b a m,55,5.596,10.29,3.806,219.2,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001664,- Cu Nd O2.6 -,P 1 1 2/m,10,8.56,8.534,3.777,275.9,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001665,- Cu Nd O2.93 -,P b n m,62,5.334,6.308,7.196,242.1,1995
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1001671,- Cu Nd2 O3.5 -,I m m m,71,4.237,3.7675,11.917,190.2,1994
Cu1Nd2O3.5,Cu-Nd-O,Cuprate,C 1 2/m 1,0.0,1541026,- Cu Nd2 O3.864 -,I 4/m m m,139,3.9438,3.9438,12.1549,189.052,1989
Ce0.7Cu2Eu1.3Ru1Sr2O10,Ce-Cu-Eu-O-Ru-Sr,Cuprate,C 1 m 1,33.0,1526811,- Ce0.58 Cu2 Eu1.8 O10.024 Ru0.92 Sr1.7 -,I 4/m m m,139,3.8424,3.8424,28.559,421.646,2001
Bi1.7Ca1Cu2Pb0.3Sr2O8,Bi-Ca-Cu-O-Pb-Sr,Cuprate,C c c 2,80.5,1525659,- Bi2 Ca1.7 Cu3 O10 Pb0.3 Sr2 -,A 2 a a,37,5.402,5.419,36.957,1081.86,2000
Bi1.7Ca1Cu2Pb0.3Sr2O8,Bi-Ca-Cu-O-Pb-Sr,Cuprate,C c c 2,80.5,1540770,- Bi1.6 Ca2 Cu3 O10 Pb0.4 Sr2 -,I 4/m m m,139,3.823,3.823,37.074,541.849,1989
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1008594,- Ba2 Cu1.06 O6 Tl1.94 -,I 4/m m m,139,3.8714,3.8714,23.269,348.7,1993
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1530546,- Ba2 Cu O6 Tl2 -,A b m a,64,5.4967,5.4651,23.246,698.31,1988
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1540969,- Ba2 Cu O6 Tl2 -,I 4/m m m,139,3.85944,3.85944,23.1272,344.486,1988
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1541087,- Ba2 Cu O6.1 Tl2 -,F m m m,69,5.4604,5.4848,23.2038,694.935,1989
Ba2.02Cu1.01Tl1.97O6.16,Ba-Cu-O-Tl,Cuprate,C m c a,0.0,1541208,- Ba2 Cu O5 Tl -,P 4/m m m,123,3.85,3.85,9.54,141.407,1990
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522243,- Ba1.85 Cu3 La0.15 O7 Y -,P m m m,47,3.8837,3.8189,11.6612,172.953,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522244,- Ba1.8 Cu3 La0.2 O7 Y -,P m m m,47,3.8851,3.8221,11.6426,172.884,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522245,- Ba1.75 Cu3 La0.25 O7 Y -,P m m m,47,3.8807,3.8245,11.6324,172.645,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522246,- Ba1.7 Cu3 La0.3 O7 Y -,P m m m,47,3.8746,3.8326,11.6167,172.506,1999
Ba1.72Cu4La0.28Y1O8,Ba-Cu-La-O-Y,Cuprate,C m m m,18.9,1522247,- Ba1.6 Cu3 La0.4 O7 Y -,P m m m,47,3.8589,3.85,11.5958,172.276,1999
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1526985,- Ba1.9 Cu3 Eu1.1 O7 -,P m m m,47,3.8406,3.8954,11.695,174.965,2000
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1526986,- Ba1.8 Cu3 Eu1.2 O7.02 -,P m m m,47,3.8584,3.8742,11.665,174.371,2000
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1526987,- Ba1.7 Cu3 Eu1.3 O7.02 -,P 4/m m m,123,3.8651,3.8651,11.626,173.681,2000
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1539604,- Ba2 Cu3 Eu O7 -,P m m m,47,3.8973,3.8384,11.7069,175.128,1987
Ba2Cu3Eu1O6.5,Ba-Cu-Eu-O,Cuprate,F m m m,92.0,1540791,- Ba2 Cu3 Eu O7 -,P m m m,47,3.8998,3.8396,11.7109,175.355,1989
Ba0.004Cu1La1.996O4,Ba-Cu-La-O,Cuprate,I 4/m m m,0.0,1001097,- Ba2.4 Cu1.8 La3.6 O9.6 -,P 4/m b m,127,6.862,6.862,5.871,276.4,1981
Ba0.004Cu1La1.996O4,Ba-Cu-La-O,Cuprate,I 4/m m m,0.0,1001172,- Ba3 Cu6 La3 O14 -,P 4/m m m,123,5.5253,5.5253,11.721,357.8,1981
Ba0.004Cu1La1.996O4,Ba-Cu-La-O,Cuprate,I 4/m m m,0.0,1001376,- Ba1.5 Cu3 La1.5 O7.02 -,P 4/m m m,123,3.9098,3.9098,11.7058,178.9,1988
Ba0.004Cu1La1.996O4,Ba-Cu-La-O,Cuprate,I 4/m m m,0.0,1001433,- Ba1.5 Cu3 La1.5 O7.36 -,P 4/m m m,123,3.9024,3.9024,11.6908,178,1987
Ba0.004Cu1La1.996O4,Ba-Cu-La-O,Cuprate,I 4/m m m,0.0,1001677,- Ba2 Cu3 La O6.7 -,P 4/m m m,123,3.895,3.895,11.727,177.9,1987
Cl1Cu2Sr3O5,Cl-Cu-O-Sr,Cuprate,I m -3 m,70.0,2002173,- Cl2 Cu3 O4 Sr2 -,I 4/m m m,139,5.462,5.462,12.591,375.6,1976
Cl1Cu2Sr3O5,Cl-Cu-O-Sr,Cuprate,I m -3 m,70.0,2002194,- Cl2 Cu O2 Sr2 -,I 4/m m m,139,3.975,3.975,15.618,246.8,1975
Cl1Cu2Sr3O5,Cl-Cu-O-Sr,Cuprate,I m -3 m,70.0,2002855,- Cl Cu O2 Sr2 -,P 31 2 1,152,4.003,4.003,27.67899,384.1,1985
Ba2Ca2Cu3Tl2O10,Ba-Ca-Cu-O-Tl,Cuprate,I m m 2,118.975,1001366,- Ba2 Ca1.9 Cu3 O10.94 Tl1.82 -,I 4/m m m,139,3.85,3.85,35.6,527.7,1988
Ba2Ca2Cu3Tl2O10,Ba-Ca-Cu-O-Tl,Cuprate,I m m 2,118.975,1001367,- Ba2 Ca Cu2 O7 Tl -,P 4/m m m,123,3.833,3.833,12.68,186.3,1988
Ba2Ca2Cu3Tl2O10,Ba-Ca-Cu-O-Tl,Cuprate,I m m 2,118.975,1001373,- Ba2 Ca2 Cu3 O8.84 Tl0.93 -,P 4/m m m,123,3.844,3.844,15.88,234.6,1988
Ba2Ca2Cu3Tl2O10,Ba-Ca-Cu-O-Tl,Cuprate,I m m 2,118.975,1001420,- Ba2 Ca1.07 Cu2 O8 Tl1.93 -,I 4/m m m,139,3.86,3.86,29.388,437.9,1988
Ba2Ca2Cu3Tl2O10,Ba-Ca-Cu-O-Tl,Cuprate,I m m 2,118.975,1001532,- Ba2 Ca Cu2 O8 Tl2 -,I 4/m m m,139,3.8565,3.8565,29.3122,435.9,1992
Ca2Cu1O3,Ca-Cu-O,Cuprate,I m m m,0.0,1521117,- Ca5 Cu6 O12 -,P 1 2/c 1,13,10.9459,6.3197,16.839,1125.44,2000
Ca2Cu1O3,Ca-Cu-O,Cuprate,I m m m,0.0,1521118,- Ca4.78 Cu6 O11.6 -,P 1 2/c 1,13,10.9456,6.3192,16.84079,1125.4,2000
Ca2Cu1O3,Ca-Cu-O,Cuprate,I m m m,0.0,1525978,- Ca2 Cu O3 -,I m m m,71,12.23,3.763,3.252,149.662,2001
Ca2Cu1O3,Ca-Cu-O,Cuprate,I m m m,0.0,1525980,- Ca Cu O2 -,P 4/m m m,123,3.897,3.897,3.211,48.764,2001
Ca2Cu1O3,Ca-Cu-O,Cuprate,I m m m,0.0,2002243,- Ca Cu2 O3 -,P m m n :2,59,9.85,4.11,3.47,140.5,1969
As2Ba0.39Fe2K0.61,As-Ba-Fe-K,Ferrite,C 1 2/m 1,24.5,4123003,- As2 Ba0.83 Fe2 K0.17 -,I 4/m m m,139,3.94518,3.94518,13.13219,204.395,2014
As2Ba0.39Fe2K0.61,As-Ba-Fe-K,Ferrite,C 1 2/m 1,24.5,4123004,- As2 Ba0.32 Fe2 K0.68 -,I 4/m m m,139,3.88324,3.88324,13.53814,204.149,2014
As2Ba0.39Fe2K0.61,As-Ba-Fe-K,Ferrite,C 1 2/m 1,24.5,4123006,- As2 Ba0.84 Fe2 K0.16 -,I 4/m m m,139,3.94518,3.94518,13.13219,204.395,2014
As2Ba0.39Fe2K0.61,As-Ba-Fe-K,Ferrite,C 1 2/m 1,24.5,4123007,- As2 Ba0.52 Fe2 K0.48 -,I 4/m m m,139,3.90675,3.90675,13.37425,204.127,2014
As2Ba0.39Fe2K0.61,As-Ba-Fe-K,Ferrite,C 1 2/m 1,24.5,4123010,- As2 Ba0.84 Fe2 K0.16 -,F m m m,69,5.5864,5.5564,13.061,405.42,2014
Bi1Ni1,Bi-Ni,Ferrite,C 1 m 1,4.25,1519106,- Bi Ni0.92 -,P m c m,51,8.1527,14.1209,5.3243,612.952,2000
Bi1Ni1,Bi-Ni,Ferrite,C 1 m 1,4.25,4003074,- Bi2 Ni -,C 1 2/m 1,12,12.1135,3.83754,5.2749,240.778,2019
Bi1Ni1,Bi-Ni,Ferrite,C 1 m 1,4.25,4003075,- Bi2 Ni -,C 1 2/m 1,12,12.80484,4.04053,5.51174,279.94,2019
Bi1Ni1,Bi-Ni,Ferrite,C 1 m 1,4.25,7120700,- Bi Ni -,C m c m,63,3.3873,9.4079,3.7587,119.78,2017
Bi10Fe10Sr15O46,Bi-Fe-O-Sr,Ferrite,C 2 2 2,0.0,1001709,- Bi2 Fe2 O11 Sr2.591 -,F m m m,69,5.488,5.475,31.50899,946.7,1995
Bi10Fe10Sr15O46,Bi-Fe-O-Sr,Ferrite,C 2 2 2,0.0,1530375,- Bi2 Fe2 O10 Sr4 -,P 4/m m m,123,3.827,3.827,18.52,271.243,1989
Bi10Fe10Sr15O46,Bi-Fe-O-Sr,Ferrite,C 2 2 2,0.0,1540370,- Bi10 Fe10 O46 Sr15 -,C 2 2 2,21,27.245,31.696,5.4617,4716.49,1989
Bi10Fe10Sr15O46,Bi-Fe-O-Sr,Ferrite,C 2 2 2,0.0,2310038,- Bi14 Fe12 O61 Sr21 -,X2/m(\a0\g)0s,,3.5905,5.4903,3.4954,68.217,2012
Bi10Fe10Sr15O46,Bi-Fe-O-Sr,Ferrite,C 2 2 2,0.0,2310043,- Bi12 Fe10 O52 Sr18 -,X2/m(\a0\g)0s,,3.6174,5.48,3.4641,67.87,2012
Ni1S1,Ni-S,Ferrite,F d -3 m,0.0,1010435,- Ni S -,P 63/m m c,194,3.42,3.42,5.3,53.7,1925
Ni1S1,Ni-S,Ferrite,F d -3 m,0.0,1011038,- Ni S -,R 3 m :R,160,5.64,5.64,5.64,84,1925
Ni1S1,Ni-S,Ferrite,F d -3 m,0.0,1011250,- Ni3 S2 -,R 3 2 :R,155,4.049,4.049,4.049,66.4,1938
Ni1S1,Ni-S,Ferrite,F d -3 m,0.0,1537587,- Ni3 S2 -,F -4 3 m,216,5.216,5.216,5.216,141.91,1963
Ni1S1,Ni-S,Ferrite,F d -3 m,0.0,1538624,- Ni S -,P 63/m m c,194,3.43,3.43,5.34,54.408,1975
K1Ni2S2,K-Ni-S,Ferrite,F d d d,0.46,1005023,- K2 Ni3 S4 -,F d d d :2,70,5.723,10.04,26.05899,1497.3,1996
K1Ni2S2,K-Ni-S,Ferrite,F d d d,0.46,4031658,- K Ni2 S2 -,I 4/m m m,139,3.791,3.791,12.829,184.374,1989
Ni3P1,Ni-P,Ferrite,I -4,0.0,1522619,- Ni2 P -,P -6 2 m,189,5.862,5.862,3.372,100.348,1938
Ni3P1,Ni-P,Ferrite,I -4,0.0,1526196,- Ni P2 -,C 1 2/c 1,15,6.352,5.6042,5.621,173.948,2000
Ni3P1,Ni-P,Ferrite,I -4,0.0,1526484,- Ni P3 -,I m -3,204,7.8157,7.8157,7.8157,477.423,2000
Ni3P1,Ni-P,Ferrite,I -4,0.0,1537573,- Ni12 P5 -,I 4/m,87,8.646,8.646,5.07,378.999,1965
Ni3P1,Ni-P,Ferrite,I -4,0.0,1537574,- Ni P -,P b c a,61,6.05,4.881,6.89,203.462,1965
Bi2Ni3S2,Bi-Ni-S,Ferrite,I 21 3,0.79,1525608,- Bi2 Ni3 S2 -,C 1 2/m 1,12,11.065,8.078,11.451,1023.53,2001
Bi2Ni3S2,Bi-Ni-S,Ferrite,I 21 3,0.79,9000309,- Bi2 Ni3 S2 -,P m a m,51,5.545,5.731,4.052,128.766,1973
Fe2K0.8Se2,Fe-K-Se,Ferrite,I 4/m,31.36428571,1501461,- Fe2 K0.8 Se1.96 -,I 4/m m m,139,3.9092,3.9092,14.1353,216.013,2011
Fe2K0.8Se2,Fe-K-Se,Ferrite,I 4/m,31.36428571,1515541,- Fe15.631 K8.622 Se20 -,I 4/m,87,8.7653,8.7653,13.8811,1066.49,2011
Fe2K0.8Se2,Fe-K-Se,Ferrite,I 4/m,31.36428571,1515542,- Fe15.29 K9.223 Se20 -,I 4/m,87,8.7788,8.7788,13.8604,1068.18,2011
Fe2K0.8Se2,Fe-K-Se,Ferrite,I 4/m,31.36428571,1520903,- Fe K3 Se3 -,P 1 21/c 1,14,8.023,12.868,10.41,852.753,1999
Fe2K0.8Se2,Fe-K-Se,Ferrite,I 4/m,31.36428571,1520905,- Fe2 K3 Se4 -,P n m a,62,7.433,11.341,12.016,1012.92,1999
As12Fe4La1,As-Fe-La,Ferrite,I m -3,0.0,4315027,- As82 Fe115 La24 -,P m m n :2,59,10.8881,25.753,12.5436,3517.2,2010
Fe2P1,Fe-P,Ferrite,I m m 2,0.0,1008826,- Fe2 P -,P -6 2 m,189,5.69,5.69,3.458,97,1998
Fe2P1,Fe-P,Ferrite,I m m 2,0.0,1011335,- Fe2 P -,P -6 2 m,189,5.852,5.852,3.453,102.4,1930
Fe2P1,Fe-P,Ferrite,I m m 2,0.0,1528058,- Fe P -,P n a 21,33,5.193,5.792,3.099,93.211,1972
Fe2P1,Fe-P,Ferrite,I m m 2,0.0,1539131,- Fe P4 -,C 2 2 21,20,5.005,10.213,5.53,282.672,1978
Fe2P1,Fe-P,Ferrite,I m m 2,0.0,1539808,- Fe P4 -,C 1 2/c 1,15,5.0543,10.407,11.069,582.115,1987
Ni2P2Sr1,Ni-P-Sr,Ferrite,I m m m,1.415,1526573,- Ni10 P6 Sr -,P n m a,62,15.993,6.473,8.735,904.271,2000
Ni2P2Sr1,Ni-P-Sr,Ferrite,I m m m,1.415,1526577,- Ni10 P6 Sr -,C m c a,64,6.481,16.08,8.763,913.231,2000
Ni2P2Sr1,Ni-P-Sr,Ferrite,I m m m,1.415,4002218,- Ni2 P4 Sr -,F d d d,70,5.1928,9.5598,18.9575,941.09,2015
Ni0.02S2Ta1,Ni-S-Ta,Ferrite,P -3 m 1,3.325,1530816,- Ni3 S8 Ta2 -,P b a m,55,14.092,10.078,3.314,470.652,1986
Mo1Ni1P1,Mo-Ni-P,Ferrite,P -6 2 m,15.5,1526191,- Mo8.58 Ni7.42 P6 -,P -1,2,7.0079,7.029,7.0308,277.63,2001
Mo1Ni1P1,Mo-Ni-P,Ferrite,P -6 2 m,15.5,1526193,- Mo3 Ni2 P1.167 -,F -4 3 m,216,10.846,10.846,10.846,1275.88,2001
Mo1Ni1P1,Mo-Ni-P,Ferrite,P -6 2 m,15.5,1526195,- Mo2.675 Ni0.325 P -,I -4,82,9.733,9.733,4.7805,452.863,2001
Mo1Ni1P1,Mo-Ni-P,Ferrite,P -6 2 m,15.5,1533905,- Mo1.812 Ni1.188 P -,I 1 m 1,8,10.4036,8.4055,4.7357,413.976,2002
Mo1Ni1P1,Mo-Ni-P,Ferrite,P -6 2 m,15.5,1539773,- Mo Ni P8 -,P -3 1 c,163,6.222,6.222,8.73,292.688,1991
Ge4Ru3Yb2,Ge-Ru-Yb,Heavy_fermion,C 1 2/c 1,0.0,1538038,- Ge2 Ru2 Yb -,I 4/m m m,139,4.203,4.203,9.763,172.465,1985
B4Rh4Yb1,B-Rh-Yb,Heavy_fermion,C c c a,0.0,1511320,- B Rh3 Yb -,P m -3 m,221,4.14,4.14,4.14,70.958,1985
B4Rh4Yb1,B-Rh-Yb,Heavy_fermion,C c c a,0.0,2219732,- B Rh2.67 Yb -,P m -3 m,221,4.12992,4.12992,4.12992,70.441,2008
Ce1Pt1Si2,Ce-Pt-Si,Heavy_fermion,C m c m,0.14,1527722,- Ce Pt Si2 -,C m c m,63,4.288,16.718,4.238,303.809,1990
Ce1Pt1Si2,Ce-Pt-Si,Heavy_fermion,C m c m,0.14,1532301,- Ce3 Pt23 Si11 -,F m -3 m,225,16.837,16.837,16.837,4773.03,2002
Ce1Ge3Ni1,Ce-Ge-Ni,Heavy_fermion,C m m m,0.455,1521956,- Ce5 Ge2.19 Ni0.81 -,I 4/m c m,140,7.861,7.861,13.858,856.36,2000
Ce1Ge3Ni1,Ce-Ge-Ni,Heavy_fermion,C m m m,0.455,1528026,- Ce Ge2 Ni -,C m c m,63,4.2392,16.7546,4.2005,298.345,1993
Ce1Ge3Ni1,Ce-Ge-Ni,Heavy_fermion,C m m m,0.455,1533359,- Ce Ge Ni -,P n m a,62,7.2469,4.3083,7.2379,225.98,2004
Ce1Ge3Ni1,Ce-Ge-Ni,Heavy_fermion,C m m m,0.455,1539662,- Ce5 Ge2 Ni -,P 4/n n c :1,126,11.76,11.76,6.429,889.115,1987
Ce1Ge3Ni1,Ce-Ge-Ni,Heavy_fermion,C m m m,0.455,1539779,- Ce Ge1.4 Ni0.6 -,P 6/m m m,191,4.178,4.178,4.224,63.854,1994
Al20Pr1Ti2,Al-Pr-Ti,Heavy_fermion,F d -3 m,0.19,1562864,- Al20 Pr Ti2 -,F d -3 m :2,227,14.725,14.725,14.725,3192.8,2012
Pu1,Pu,Heavy_fermion,F d d d,0.0,1525989,- Pu -,P 1 21/m 1,11,6.18595,4.82598,10.9719,320.64,2001
Pu1,Pu,Heavy_fermion,F d d d,0.0,1536220,- Pu -,P 63/m,176,5.437,5.437,4.493,115.023,1993
Pu1,Pu,Heavy_fermion,F d d d,0.0,1537897,- Pu -,F m -3 m,225,4.6347,4.6347,4.6347,99.555,1956
Pu1,Pu,Heavy_fermion,F d d d,0.0,2106495,- Pu19 -,C m c a,64,5.345,14.884,10.898,866.99,1978
Pu1,Pu,Heavy_fermion,F d d d,0.0,2310541,- Pu -,I 4/m m m,139,3.63,3.63,6.094,80.3,1965
Be13Ce1,Be-Ce,Heavy_fermion,F m -3 c,0.0,4113113,- Be13 Ce -,F m -3 c,226,10.376,10.376,10.376,1117.1,2004
Au2In1Yb1,Au-In-Yb,Heavy_fermion,F m -3 m,0.0,1510199,- Au In Yb -,P -6 2 m,189,7.708,7.708,4.027,207.203,1977
Au2In1Yb1,Au-In-Yb,Heavy_fermion,F m -3 m,0.0,1510437,- Au2 In Yb -,F m -3 m,225,6.86,6.86,6.86,322.829,1986
Au2In1Yb1,Au-In-Yb,Heavy_fermion,F m -3 m,0.0,4027821,- Au In2 Yb -,C m c m,63,4.559,10.764,7.552,370.6,1999
