query_formula,query_elements,sc_class,mp_spacegroup,mp_tc,cod_id,cod_formula,cod_spacegroup,cod_sg_number,cod_a,cod_b,cod_c,cod_vol,cod_year
Ag0.625Al0.375,Ag-Al,Other,C m c m,0.106,1509582,- Ag1.2 Al2.8 -,F m -3 m,225,4.0523,4.0523,4.0523,66.543,1968
Hf25Nb50Zr25,Hf-Nb-Zr,Other,C m m 2,10.1,1537989,- Hf0.4 Nb1.2 Zr0.4 -,I m -3 m,229,3.4,3.4,3.4,39.304,1967
Hf25Nb50Zr25,Hf-Nb-Zr,Other,C m m 2,10.1,1539152,- Hf0.8 Nb0.6 Zr0.6 -,I m -3 m,229,3.478,3.478,3.478,42.072,1964
Ag1Be2,Ag-Be,Other,F d -3 m,0.0,1509228,- Ag Be2 -,F d -3 m :1,227,6.287,6.287,6.287,248.502,1938
Ag1Be2,Ag-Be,Other,F d -3 m,0.0,1509229,- Ag Be2 -,F d -3 m :1,227,6.3,6.3,6.3,250.047,1936
Ag0.5Ba1Si1.5,Ag-Ba-Si,Other,F d d d,1.21,1509590,- Ag1.346 Ba2 Si1.886 -,C 2 2 2,21,8.612,14.917,19.633,2522.16,1996
Ag0.5Ba1Si1.5,Ag-Ba-Si,Other,F d d d,1.21,1509733,- Ag2 Ba4 Si6 -,F d d d :2,70,8.613,14.927,19.639,2524.91,1999
Ag0.5Ba1Si1.5,Ag-Ba-Si,Other,F d d d,1.21,1509849,- Ag3.8 Ba8 Si42.2 -,P m -3 n,223,10.478,10.478,10.478,1150.36,1991
Ag0.15Sn0.85Te1,Ag-Sn-Te,Other,F m -3 m,2.15,1509548,- Ag Sn Te2 -,F m -3 m,225,6.04,6.04,6.04,220.349,1964
Se2Ta1,Se-Ta,Other,F m m 2,0.125,1521538,- Se2 Ta -,P 63/m m c,194,3.4552,3.4552,25.1495,260.02,1999
Se2Ta1,Se-Ta,Other,F m m 2,0.125,1521539,- Se2 Ta -,P 63/m,176,12.4579,12.4579,25.1495,3380.26,1999
Se2Ta1,Se-Ta,Other,F m m 2,0.125,1537442,- Se2 Ta -,P 63 m c,186,3.436,3.436,25.532,261.049,1969
Se2Ta1,Se-Ta,Other,F m m 2,0.125,1539903,- Se2 Ta -,P -1,2,12.45,12.45,9.36,840.191,1980
Se2Ta1,Se-Ta,Other,F m m 2,0.125,1540056,- Se Ta2 -,P 4/n m m :2,129,3.375,3.375,9.832,111.993,1989
Al0.402V0.598,Al-V,Other,F m m m,0.0,2106181,- Al8 V5 -,I -4 3 m,217,9.234,9.234,9.234,787.353,1977
As2Cd1Ge1,As-Cd-Ge,Other,I -4 2 d,3.02,1541232,- As4 Cd2 Ge -,P n m a,62,7.182,7.42,12.671,675.243,1974
K1La1Nb2O7,K-La-Nb-O,Oxide,A m m 2,0.0,1545643,- K La Nb2 O7 -,C 2 2 2,21,3.906,21.603,3.8879,328.066,1992
K1La1Nb2O7,K-La-Nb-O,Oxide,A m m 2,0.0,4001007,- K0.05 La0.91 Nb O4.1 -,P 1 21/n 1,14,14.0652,3.9413,6.7477,373.966,2009
Ba0.13W1O3,Ba-O-W,Oxide,C 1 2/m 1,1.9,1001273,- Ba0.15 O3 W -,P b m m,51,8.859,10.039,3.808,338.7,1984
Ba0.13W1O3,Ba-O-W,Oxide,C 1 2/m 1,1.9,1525098,- Ba3 O9 W2 -,R -3 c :H,167,10.136,10.136,13.968,1242.79,1980
Ba0.13W1O3,Ba-O-W,Oxide,C 1 2/m 1,1.9,1527204,- Ba O4 W -,I 41/a :2,88,5.614,5.614,12.719,400.865,1970
Ba0.13W1O3,Ba-O-W,Oxide,C 1 2/m 1,1.9,1533878,- Ba6 O18 W4 -,R -3 c :H,167,10.13,10.13,13.96,1240.61,1979
Ba0.13W1O3,Ba-O-W,Oxide,C 1 2/m 1,1.9,1534803,- Ba3 O6 W -,P 1,1,6.1072,6.1071,8.671,323.405,1991
Co1Na0.6O2,Co-Na-O,Oxide,C 1 m 1,0.0,1523212,- Co4 Na10 O9 -,P -1,2,8.5404,8.4515,11.3433,654.46,1979
Co1Na0.6O2,Co-Na-O,Oxide,C 1 m 1,0.0,1523213,- Co Na4 O3 -,C 1 c 1,9,10.993,5.749,8.13,469.531,1979
Co1Na0.6O2,Co-Na-O,Oxide,C 1 m 1,0.0,1523329,- Co Na4 O3 -,P 1,1,8.144,6.22,5.758,236.065,1979
Co1Na0.6O2,Co-Na-O,Oxide,C 1 m 1,0.0,1524127,- Co4 Na10 O9 -,P -1,2,12.181,8.527,8.322,648.582,1979
Co1Na0.6O2,Co-Na-O,Oxide,C 1 m 1,0.0,1527203,- Co Na5 O4 -,P b c a,61,10.36,5.99,18.04999,1120.12,1980
Co1La2O4,Co-La-O,Oxide,C m c a,0.0,1530874,- Co La O3 -,R -3 c :R,167,5.3416,5.3416,5.3416,110.174,1986
Co1La2O4,Co-La-O,Oxide,C m c a,0.0,1533633,- Co La O3 -,I 1 2/a 1,15,5.3611,5.4316,7.6318,222.195,2004
Co1La2O4,Co-La-O,Oxide,C m c a,0.0,2002265,- Co La2 O4 -,A b m a,64,5.49,5.488,12.548,378.1,1980
Co1La2O4,Co-La-O,Oxide,C m c a,0.0,4124852,- Co La O3 -,P m -3 m,221,3.82,3.82,3.82,55.743,1954
Co1La2O4,Co-La-O,Oxide,C m c a,0.0,6000364,- Co2 La2 O5 -,P n m a,,5.4445,15.8689,5.6922,491.8,1998
La2Sr1O4.003,La-O-Sr,Oxide,C m c m,0.0,2002263,- La4 O9 Sr3 -,C 1 c 1,9,11.657,7.34,13.471,1039.5,1980
Ca2Ru2O7,Ca-O-Ru,Oxide,F d -3 m,0.0,1526044,- Ca2 O4 Ru -,P b c a,61,5.3945,5.5999,11.7653,355.414,2001
Ca2Ru2O7,Ca-O-Ru,Oxide,F d -3 m,0.0,1533864,- Ca O3 Ru -,P n m a,62,5.5311,7.646,5.3408,225.867,2004
Ag7N1O11,Ag-N-O,Oxide,F m m 2,1.03625,1010262,- Ag N O2 -,I m m 2,44,3.505,6.14,5.16,111,1936
Ag7N1O11,Ag-N-O,Oxide,F m m 2,1.03625,1509468,- Ag N O3 -,P b c a,61,6.995,7.328,10.118,518.642,1971
Ag7N1O11,Ag-N-O,Oxide,F m m 2,1.03625,1509961,- Ag7 N O6 -,F -4 3 m,216,9.87,9.87,9.87,961.505,1953
Ag7N1O11,Ag-N-O,Oxide,F m m 2,1.03625,1509963,- Ag7 N O8 -,F m -3 m,225,9.87,9.87,9.87,961.505,1948
Ag7N1O11,Ag-N-O,Oxide,F m m 2,1.03625,1510019,- Ag3 N5 O6 -,C c m 21,36,5.871,13.351,9.397,736.572,1998
Bi1K0.6Sr0.4O3,Bi-K-O-Sr,Oxide,I -4 2 m,11.42166667,1008816,- Bi K0.56 O3 Sr0.44 -,I 4/m c m,140,5.9416,5.9416,8.4394,297.9,1997
Bi1K0.6Sr0.4O3,Bi-K-O-Sr,Oxide,I -4 2 m,11.42166667,1009011,- Bi2 K1.4 O7 Sr1.6 -,I 4/m m m,139,4.1549,4.1549,21.82729,376.8,1999
Bi1K0.6Sr0.4O3,Bi-K-O-Sr,Oxide,I -4 2 m,11.42166667,1520874,- Bi K0.6 O3 Sr0.4 -,I 4/m c m,140,5.92803,5.92803,8.4301,296.247,2000
Bi1K0.6Sr0.4O3,Bi-K-O-Sr,Oxide,I -4 2 m,11.42166667,1520877,- Bi K0.6 O2.84 Sr0.4 -,I 4/m c m,140,5.95493,5.95493,8.4508,299.675,2000
Bi1K0.6Sr0.4O3,Bi-K-O-Sr,Oxide,I -4 2 m,11.42166667,1520878,- Bi K0.6 O2.66 Sr0.4 -,I 4/m c m,140,5.96045,5.96045,8.4545,300.363,2000
Sr4V3O9.8,O-Sr-V,Oxide,I 4,0.0,1007101,- O8 Sr3 V2 -,R -3 m :R,166,7.458,7.458,7.458,183.8,1959
Sr4V3O9.8,O-Sr-V,Oxide,I 4,0.0,1008477,- O4 Sr2 V -,I 4/m m m,139,3.834,3.834,12.5874,185,1990
Sr4V3O9.8,O-Sr-V,Oxide,I 4,0.0,1512117,- O3 Sr V -,P m -3 m,221,3.8409,3.8409,3.8409,56.663,1999
Sr4V3O9.8,O-Sr-V,Oxide,I 4,0.0,1512118,- O3 Sr V -,P m -3 m,221,3.8425,3.8425,3.8425,56.734,2003
Sr4V3O9.8,O-Sr-V,Oxide,I 4,0.0,1512119,- O3 Sr V -,P m -3 m,221,3.84,3.84,3.84,56.6,1990
Ba2Bi2K1O7,Ba-Bi-K-O,Oxide,I 4 m m,0.0,1004099,- Ba0.87 Bi K0.13 O3 -,P m -3 m,221,4.3223,4.3223,4.3223,80.8,1988
Ba2Bi2K1O7,Ba-Bi-K-O,Oxide,I 4 m m,0.0,1525709,- Ba0.63 Bi K0.37 O3 -,P m -3 m,221,4.304,4.304,4.304,79.729,2000
Ba2Bi2K1O7,Ba-Bi-K-O,Oxide,I 4 m m,0.0,1525710,- Ba0.63 Bi K0.37 O3 -,I 4/m c m,140,6.047,6.047,8.552,312.714,2000
Ba2Bi2K1O7,Ba-Bi-K-O,Oxide,I 4 m m,0.0,1526628,- Ba0.6 Bi K0.4 O3 -,P m -3 m,221,4.27841,4.27841,4.27841,78.315,2001
Ba2Bi2K1O7,Ba-Bi-K-O,Oxide,I 4 m m,0.0,1539227,- Ba0.96 Bi K0.04 O3 -,I m m m,71,6.1298,6.1374,8.6628,325.903,1988
Co1O2,Co-O,Oxide,I 4/m,0.0,1522026,- Co O1.92 -,P -3 m 1,164,2.8048,2.8048,4.2509,28.961,1999
Co1O2,Co-O,Oxide,I 4/m,0.0,1522027,- Co O2 -,P -3 m 1,164,2.8208,2.8208,4.2403,29.219,1999
Co1O2,Co-O,Oxide,I 4/m,0.0,1525955,- Co O3 -,R -3 m :H,166,9.8842,9.8842,2.4785,209.702,2001
