L 8 states 119 targets 1828
L8_prod2_a2_b6_uA0_uB4 N 15 {'U': 5.0, 'G': 3.2, 'GH': 3.067, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.267} | rel vs G: {'U': -0.562, 'GH': 0.042, 'W': 0.042, 'M': 0.042, 'O': 0.063, 'RH': -0.021} | RH O-calls 5 | t=488s
L8_prod2_a2_b6_uA0_uB5 N 6 {'U': 2.667, 'G': 2.833, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.833} | rel vs G: {'U': 0.059, 'GH': 0.059, 'W': 0.059, 'M': 0.059, 'O': 0.059, 'RH': 0.0} | RH O-calls 0 | t=488s
L8_prod2_a2_b6_uA1_uB1 N 12 {'U': 4.333, 'G': 2.667, 'GH': 2.75, 'W': 2.833, 'M': 2.833, 'O': 2.75, 'RH': 2.667} | rel vs G: {'U': -0.625, 'GH': -0.031, 'W': -0.063, 'M': -0.063, 'O': -0.031, 'RH': 0.0} | RH O-calls 0 | t=489s
L8_prod2_a2_b6_uA1_uB2 N 30 {'U': 5.1, 'G': 3.167, 'GH': 3.133, 'W': 3.133, 'M': 3.133, 'O': 3.067, 'RH': 3.167} | rel vs G: {'U': -0.611, 'GH': 0.011, 'W': 0.011, 'M': 0.011, 'O': 0.032, 'RH': 0.0} | RH O-calls 3 | t=535s
L8_prod2_a2_b6_uA1_uB3 N 40 {'U': 5.7, 'G': 3.525, 'GH': 3.45, 'W': 3.45, 'M': 3.45, 'O': 3.25, 'RH': 3.525} | rel vs G: {'U': -0.617, 'GH': 0.021, 'W': 0.021, 'M': 0.021, 'O': 0.078, 'RH': 0.0} | RH O-calls 5 | t=640s
L8_prod2_a2_b6_uA1_uB4 N 30 {'U': 5.133, 'G': 3.233, 'GH': 3.233, 'W': 3.133, 'M': 3.133, 'O': 3.067, 'RH': 3.233} | rel vs G: {'U': -0.588, 'GH': 0.0, 'W': 0.031, 'M': 0.031, 'O': 0.052, 'RH': 0.0} | RH O-calls 0 | t=686s
L8_prod2_a2_b6_uA1_uB5 N 12 {'U': 5.0, 'G': 2.667, 'GH': 2.833, 'W': 2.833, 'M': 2.833, 'O': 2.75, 'RH': 2.667} | rel vs G: {'U': -0.875, 'GH': -0.063, 'W': -0.063, 'M': -0.063, 'O': -0.031, 'RH': 0.0} | RH O-calls 0 | t=687s
L8_prod2_a2_b6_uA2_uB1 N 6 {'U': 3.833, 'G': 2.667, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.667} | rel vs G: {'U': -0.438, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=688s
L8_prod2_a2_b6_uA2_uB2 N 15 {'U': 4.467, 'G': 3.0, 'GH': 3.4, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.489, 'GH': -0.133, 'W': -0.022, 'M': -0.022, 'O': 0.0, 'RH': 0.0} | RH O-calls 4 | t=689s
L8_prod2_a2_b6_uA2_uB3 N 20 {'U': 5.2, 'G': 2.75, 'GH': 2.65, 'W': 3.2, 'M': 3.1, 'O': 3.1, 'RH': 3.0} | rel vs G: {'U': -0.891, 'GH': 0.036, 'W': -0.164, 'M': -0.127, 'O': -0.127, 'RH': -0.091} | RH O-calls 5 | t=691s
L8_prod2_a2_b6_uA2_uB4 N 15 {'U': 4.533, 'G': 3.0, 'GH': 2.867, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.2} | rel vs G: {'U': -0.511, 'GH': 0.044, 'W': -0.022, 'M': -0.022, 'O': 0.0, 'RH': -0.067} | RH O-calls 3 | t=692s
L8_prod2_a2_b6_uA2_uB5 N 6 {'U': 3.167, 'G': 2.667, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.667} | rel vs G: {'U': -0.188, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=692s
L8_prod2_a3_b5_uA0_uB1 N 5 {'U': 2.6, 'G': 2.2, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.2} | rel vs G: {'U': -0.182, 'GH': -0.091, 'W': -0.091, 'M': -0.091, 'O': -0.091, 'RH': 0.0} | RH O-calls 0 | t=692s
L8_prod2_a3_b5_uA0_uB2 N 10 {'U': 3.8, 'G': 2.8, 'GH': 2.2, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.8} | rel vs G: {'U': -0.357, 'GH': 0.214, 'W': 0.071, 'M': 0.071, 'O': 0.071, 'RH': 0.0} | RH O-calls 0 | t=693s
L8_prod2_a3_b5_uA0_uB3 N 10 {'U': 4.9, 'G': 2.6, 'GH': 2.4, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.6} | rel vs G: {'U': -0.885, 'GH': 0.077, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=694s
L8_prod2_a3_b5_uA0_uB4 N 5 {'U': 4.0, 'G': 2.2, 'GH': 2.4, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.2} | rel vs G: {'U': -0.818, 'GH': -0.091, 'W': -0.091, 'M': -0.091, 'O': -0.091, 'RH': 0.0} | RH O-calls 0 | t=694s
L8_prod2_a3_b5_uA1_uB0 N 3 {'U': 2.667, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -0.6, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=694s
L8_prod2_a3_b5_uA1_uB1 N 15 {'U': 5.2, 'G': 2.8, 'GH': 2.733, 'W': 2.8, 'M': 2.8, 'O': 2.733, 'RH': 2.733} | rel vs G: {'U': -0.857, 'GH': 0.024, 'W': 0.0, 'M': 0.0, 'O': 0.024, 'RH': 0.024} | RH O-calls 10 | t=695s
L8_prod2_a3_b5_uA1_uB2 N 30 {'U': 4.6, 'G': 3.267, 'GH': 3.267, 'W': 3.1, 'M': 3.2, 'O': 3.067, 'RH': 3.133} | rel vs G: {'U': -0.408, 'GH': 0.0, 'W': 0.051, 'M': 0.02, 'O': 0.061, 'RH': 0.041} | RH O-calls 24 | t=742s
L8_prod2_a3_b5_uA1_uB3 N 30 {'U': 4.7, 'G': 3.267, 'GH': 3.267, 'W': 3.2, 'M': 3.2, 'O': 3.067, 'RH': 3.233} | rel vs G: {'U': -0.439, 'GH': 0.0, 'W': 0.02, 'M': 0.02, 'O': 0.061, 'RH': 0.01} | RH O-calls 18 | t=789s
L8_prod2_a3_b5_uA1_uB4 N 15 {'U': 4.533, 'G': 2.867, 'GH': 2.867, 'W': 3.067, 'M': 2.933, 'O': 2.733, 'RH': 2.867} | rel vs G: {'U': -0.581, 'GH': 0.0, 'W': -0.07, 'M': -0.023, 'O': 0.047, 'RH': 0.0} | RH O-calls 3 | t=793s
L8_prod2_a3_b5_uA1_uB5 N 3 {'U': 2.333, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -0.4, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=793s
L8_prod2_a3_b5_uA2_uB0 N 3 {'U': 1.667, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': 0.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=793s
L8_prod2_a3_b5_uA2_uB1 N 15 {'U': 5.2, 'G': 2.867, 'GH': 3.067, 'W': 3.067, 'M': 2.933, 'O': 2.733, 'RH': 2.8} | rel vs G: {'U': -0.814, 'GH': -0.07, 'W': -0.07, 'M': -0.023, 'O': 0.047, 'RH': 0.023} | RH O-calls 4 | t=799s
L8_prod2_a3_b5_uA2_uB2 N 30 {'U': 4.833, 'G': 3.1, 'GH': 3.067, 'W': 3.2, 'M': 3.2, 'O': 3.067, 'RH': 3.133} | rel vs G: {'U': -0.559, 'GH': 0.011, 'W': -0.032, 'M': -0.032, 'O': 0.011, 'RH': -0.011} | RH O-calls 19 | t=846s
L8_prod2_a3_b5_uA2_uB3 N 30 {'U': 5.067, 'G': 3.233, 'GH': 3.1, 'W': 3.1, 'M': 3.2, 'O': 3.067, 'RH': 3.367} | rel vs G: {'U': -0.567, 'GH': 0.041, 'W': 0.041, 'M': 0.01, 'O': 0.052, 'RH': -0.041} | RH O-calls 24 | t=890s
L8_prod2_a3_b5_uA2_uB4 N 15 {'U': 4.533, 'G': 2.867, 'GH': 2.867, 'W': 2.8, 'M': 2.8, 'O': 2.733, 'RH': 3.067} | rel vs G: {'U': -0.581, 'GH': 0.0, 'W': 0.023, 'M': 0.023, 'O': 0.047, 'RH': -0.07} | RH O-calls 8 | t=891s
L8_prod2_a3_b5_uA2_uB5 N 3 {'U': 4.667, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -1.8, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=892s
L8_prod2_a3_b5_uA3_uB1 N 5 {'U': 3.0, 'G': 2.6, 'GH': 2.6, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.6} | rel vs G: {'U': -0.154, 'GH': 0.0, 'W': 0.077, 'M': 0.077, 'O': 0.077, 'RH': 0.0} | RH O-calls 0 | t=892s
L8_prod2_a3_b5_uA3_uB2 N 10 {'U': 5.4, 'G': 2.8, 'GH': 2.7, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.8} | rel vs G: {'U': -0.929, 'GH': 0.036, 'W': 0.071, 'M': 0.071, 'O': 0.071, 'RH': 0.0} | RH O-calls 0 | t=892s
L8_prod2_a3_b5_uA3_uB3 N 10 {'U': 4.6, 'G': 2.5, 'GH': 2.7, 'W': 2.6, 'M': 2.6, 'O': 2.6, 'RH': 2.5} | rel vs G: {'U': -0.84, 'GH': -0.08, 'W': -0.04, 'M': -0.04, 'O': -0.04, 'RH': 0.0} | RH O-calls 0 | t=893s
L8_prod2_a3_b5_uA3_uB4 N 5 {'U': 3.8, 'G': 2.2, 'GH': 2.2, 'W': 2.4, 'M': 2.4, 'O': 2.4, 'RH': 2.2} | rel vs G: {'U': -0.727, 'GH': 0.0, 'W': -0.091, 'M': -0.091, 'O': -0.091, 'RH': 0.0} | RH O-calls 0 | t=893s
L8_prod2_a4_b4_uA0_uB1 N 4 {'U': 2.75, 'G': 2.0, 'GH': 2.0, 'W': 2.0, 'M': 2.0, 'O': 2.0, 'RH': 2.0} | rel vs G: {'U': -0.375, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=893s
