L 9 states 114 targets 1458
L9_prod2_a2_b7_uA2_uB5 N 21 {'U': 5.048, 'G': 3.619, 'GH': 3.381, 'W': 3.524, 'M': 3.524, 'O': 3.286, 'RH': 3.333} | rel vs G: {'U': -0.395, 'GH': 0.066, 'W': 0.026, 'M': 0.026, 'O': 0.092, 'RH': 0.079} | RH O-calls 9 | t=920s
L9_prod2_a2_b7_uA2_uB6 N 7 {'U': 4.143, 'G': 3.0, 'GH': 3.0, 'W': 2.857, 'M': 2.857, 'O': 2.857, 'RH': 3.0} | rel vs G: {'U': -0.381, 'GH': 0.0, 'W': 0.048, 'M': 0.048, 'O': 0.048, 'RH': 0.0} | RH O-calls 0 | t=921s
L9_prod2_a3_b6_uA0_uB1 N 6 {'U': 3.833, 'G': 2.5, 'GH': 2.833, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.5} | rel vs G: {'U': -0.533, 'GH': -0.133, 'W': -0.067, 'M': -0.067, 'O': -0.067, 'RH': 0.0} | RH O-calls 0 | t=921s
L9_prod2_a3_b6_uA0_uB2 N 15 {'U': 4.067, 'G': 3.133, 'GH': 2.933, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.067} | rel vs G: {'U': -0.298, 'GH': 0.064, 'W': 0.021, 'M': 0.021, 'O': 0.043, 'RH': 0.021} | RH O-calls 2 | t=923s
L9_prod2_a3_b6_uA0_uB3 N 20 {'U': 4.05, 'G': 3.25, 'GH': 3.25, 'W': 3.2, 'M': 3.1, 'O': 3.1, 'RH': 3.5} | rel vs G: {'U': -0.246, 'GH': 0.0, 'W': 0.015, 'M': 0.046, 'O': 0.046, 'RH': -0.077} | RH O-calls 8 | t=935s
L9_prod2_a3_b6_uA0_uB4 N 15 {'U': 4.933, 'G': 3.2, 'GH': 3.2, 'W': 3.067, 'M': 3.067, 'O': 3.0, 'RH': 3.0} | rel vs G: {'U': -0.542, 'GH': 0.0, 'W': 0.042, 'M': 0.042, 'O': 0.063, 'RH': 0.063} | RH O-calls 5 | t=940s
L9_prod2_a3_b6_uA0_uB5 N 6 {'U': 4.333, 'G': 2.833, 'GH': 2.667, 'W': 2.667, 'M': 2.667, 'O': 2.667, 'RH': 2.833} | rel vs G: {'U': -0.529, 'GH': 0.059, 'W': 0.059, 'M': 0.059, 'O': 0.059, 'RH': 0.0} | RH O-calls 0 | t=941s
L9_prod2_a3_b6_uA1_uB0 N 3 {'U': 2.333, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': -0.4, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=941s
L9_prod2_a3_b6_uA1_uB1 N 18 {'U': 4.667, 'G': 3.056, 'GH': 3.056, 'W': 3.222, 'M': 3.0, 'O': 3.0, 'RH': 3.167} | rel vs G: {'U': -0.527, 'GH': 0.0, 'W': -0.055, 'M': 0.018, 'O': 0.018, 'RH': -0.036} | RH O-calls 5 | t=975s
L9_prod2_a3_b6_uA1_uB5 N 18 {'U': 5.222, 'G': 2.944, 'GH': 3.222, 'W': 3.222, 'M': 3.111, 'O': 3.0, 'RH': 3.056} | rel vs G: {'U': -0.774, 'GH': -0.094, 'W': -0.094, 'M': -0.057, 'O': -0.019, 'RH': -0.038} | RH O-calls 5 | t=1015s
L9_prod2_a3_b6_uA1_uB6 N 3 {'U': 1.667, 'G': 1.667, 'GH': 1.667, 'W': 1.667, 'M': 1.667, 'O': 1.667, 'RH': 1.667} | rel vs G: {'U': 0.0, 'GH': 0.0, 'W': 0.0, 'M': 0.0, 'O': 0.0, 'RH': 0.0} | RH O-calls 0 | t=1015s
