name,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source,final_mass_source,luminosity_distance,redshift,network_matched_filter_snr,chi_eff
GW230820_212515-v1,62.0,34.0,38.6,96.0,92.0,4000.0,0.65,9.3,0.21
GW230819_171910-v1,70.0,35.0,42.0,106.0,102.0,4000.0,0.65,9.9,-0.04
GW230817_212349-v1,,,,,,,,7.8,
GW230814_230901-v1,33.6,28.3,26.75,61.8,58.9,280.0,0.06,43.0,-0.01
GW230814_061920-v1,69.0,42.0,45.5,110.0,105.0,4000.0,0.65,11.2,0.05
GW230811_032116-v1,35.6,22.1,24.0,57.9,55.3,2100.0,0.38,13.6,0.02
GW230807_205045-v1,,,,,,,,8.7,
GW230806_204041-v1,51.0,35.0,35.8,85.0,81.0,5500.0,0.84,9.4,0.08
GW230805_034249-v1,32.1,22.6,23.1,54.9,52.4,3500.0,0.58,9.5,0.06
GW230803_033412-v1,45.0,29.0,30.5,74.0,70.0,4900.0,0.77,9.4,0.06
GW230731_215307-v1,10.4,7.8,7.77,18.3,17.4,1110.0,0.22,12.2,-0.05
GW230729_082317-v1,12.3,7.6,8.33,20.3,19.4,1630.0,0.31,9.5,0.12
GW230728_083628-v1,,,,,,,,13.1,
GW230726_002940-v1,35.6,27.9,27.3,63.6,60.6,2000.0,0.37,10.5,-0.02
GW230723_101834-v1,16.7,10.6,11.4,27.5,26.4,1610.0,0.3,10.1,-0.18
GW230723_084820-v1,,,,,,,,8.4,
GW230721_222634-v1,,,,,,,,7.9,
GW230717_102139-v1,,,,,,,,8.3,
GW230712_090405-v1,32.0,13.1,16.5,46.0,45.0,2000.0,0.37,9.5,-0.03
GW230709_122727-v1,45.0,30.0,31.0,74.0,71.0,4600.0,0.73,10.2,0.08
GW230709_063445-v1,,,,,,,,7.9,
GW230708_230935-v1,64.0,39.0,42.5,103.0,99.0,3500.0,0.58,10.0,0.01
GW230708_071859-v1,,,,,,,,9.1,
GW230708_053705-v1,29.1,22.8,22.2,51.9,49.4,3300.0,0.55,8.9,0.07
GW230707_124047-v1,46.1,36.4,35.1,82.0,78.0,4500.0,0.71,11.9,-0.05
GW230706_104333-v1,16.3,11.5,11.8,27.9,26.5,1930.0,0.35,9.2,0.19
GW230704_212616-v1,89.0,49.0,55.0,139.0,132.0,7200.0,1.05,8.7,0.28
GW230704_021211-v1,32.4,19.9,21.8,52.7,50.5,2700.0,0.48,9.4,-0.01
GW230702_185453-v1,40.0,18.0,22.9,60.0,57.0,2400.0,0.43,10.1,0.05
GW230702_162025-v1,,,,,,,,9.2,
GW230630_234532-v1,10.0,6.6,7.06,16.8,16.1,1080.0,0.21,9.9,-0.04
GW230630_125806-v1,51.0,33.0,35.0,84.0,80.0,5400.0,0.83,9.0,0.17
GW230630_070659-v1,,,,,,,,9.8,
GW230628_231200-v1,32.5,27.1,25.5,59.3,56.5,2250.0,0.4,16.4,-0.01
GW230627_015337-v1,8.4,5.79,6.02,14.19,13.54,305.0,0.07,28.7,0.02
GW230625_211655-v1,,,,,,,,8.1,
GW230624_214944-v1,,,,,,,,10.6,
GW230624_113103-v1,27.2,16.1,18.0,43.8,41.8,1940.0,0.35,11.4,0.17
GW230618_102550-v1,,,,,,,,7.8,
GW230615_160825-v1,,,,,,,,8.9,
GW230609_064958-v1,35.3,25.2,25.5,60.3,57.8,3400.0,0.56,10.6,-0.14
GW230609_010824-v1,,,,,,,,8.0,
GW230608_205047-v1,48.0,31.0,32.8,79.0,75.0,3500.0,0.58,10.2,0.04
GW230606_024545-v1,,,,,,,,7.5,
GW230606_004305-v1,37.6,25.8,26.5,63.4,60.7,2700.0,0.48,11.1,-0.11
GW230605_065343-v1,17.2,11.1,11.94,28.6,27.3,1060.0,0.21,11.4,0.06
GW230603_174756-v1,,,,,,,,8.0,
GW230601_224134-v1,64.0,44.0,45.0,107.0,102.0,3700.0,0.6,13.4,-0.03
GW230531_141100-v1,,,,,,,,8.0,
GW230529_181500-v2,3.66,1.42,1.94,5.08,,202.0,0.04,11.8,-0.1
GW230518_125908-v1,8.17,1.45,2.8,9.61,,236.0,0.05,14.1,-0.01
GW200322_091133-v1,38.0,11.3,15.0,50.0,48.0,3500.0,0.59,4.5,0.27
GW200316_215756-v1,13.1,7.8,8.75,21.2,20.2,1120.0,0.22,10.3,0.13
GW200311_115853-v1,34.2,27.7,26.6,61.9,59.0,1170.0,0.23,17.8,-0.02
GW200308_173609-v1,60.0,24.0,34.0,92.0,88.0,7100.0,1.04,4.7,0.16
GW200306_093714-v1,28.3,14.8,17.5,43.9,41.7,2100.0,0.38,7.8,0.32
GW200302_015811-v1,37.8,20.0,23.4,57.8,55.5,1480.0,0.28,10.8,0.01
GW200225_060421-v1,19.3,14.0,14.2,33.5,32.1,1150.0,0.22,12.5,-0.12
GW200224_222234-v1,40.0,32.7,31.1,72.3,68.7,1710.0,0.32,20.0,0.1
GW200220_124850-v1,38.9,27.9,28.2,67.0,64.0,4000.0,0.66,8.5,-0.07
GW200220_061928-v1,87.0,61.0,62.0,148.0,141.0,6000.0,0.9,7.2,0.06
GW200219_094415-v1,37.5,27.9,27.6,65.0,62.2,3400.0,0.57,10.7,-0.08
GW200216_220804-v1,51.0,30.0,32.9,81.0,78.0,3800.0,0.63,8.1,0.1
GW200210_092254-v1,24.1,2.83,6.56,27.0,26.7,940.0,0.19,8.4,0.02
GW200209_085452-v1,35.6,27.1,26.7,62.6,59.9,3400.0,0.57,9.6,-0.12
GW200208_222617-v1,51.0,12.3,19.8,63.0,61.0,4100.0,0.66,7.4,0.45
GW200208_130117-v1,37.7,27.4,27.7,65.3,62.5,2230.0,0.4,10.8,-0.07
GW200202_154313-v1,10.1,7.3,7.49,17.58,16.76,410.0,0.09,10.8,0.04
GW200129_065458-v1,34.5,29.0,27.2,63.3,60.2,890.0,0.18,26.8,0.11
GW200128_022011-v1,42.2,32.6,32.0,75.0,71.0,3400.0,0.56,10.6,0.12
